snake_name,scientific_name,toxicity,size
Manakara Tree Snake,Lycodryas carleti,unclear toxicity ??? unclear dangerousness,Length: up to 77.0 cm
Yellow And Black Tree Snake,Lycodryas citrinus,unclear toxicity ??? unclear dangerousness,Length: up to 71.0 cm
Northeastern Tree Snake,Lycodryas gaimardi,unclear toxicity ??? unclear dangerousness,Length: up to 83.0 cm
Nosy Bé Tree Snake,Lycodryas granuliceps,unclear toxicity ??? unclear dangerousness,Length: up to 110.0 cm
Collared Tree Snake,Lycodryas guentheri,unclear toxicity ??? unclear dangerousness,Length: up to 52.0 cm
Antsiranana Tree Snake,Lycodryas inopinae,unclear toxicity ??? unclear dangerousness,Length: up to 62.0 cm
Plain Tree Snake,Lycodryas inornatus,unclear toxicity ??? unclear dangerousness,Length: up to 65.0 cm
Spotted Tree Snake,Lycodryas maculatus,unclear toxicity ??? unclear dangerousness,Length: up to 96.0 cm
Ampijoroa Tree Snake,Lycodryas pseudogranuliceps,unclear toxicity ??? unclear dangerousness,Length: up to 73.0 cm
Western Comoran Tree Snake,Lycodryas cococola,unclear toxicity ??? unclear dangerousness,Length: unknown
Seychelles Wolf Snake,Lycognathophis seychellensis,unclear toxicity ??? unclear dangerousness,Length: up to 124.0 cm
Mozambique Wolf Snake,Lycophidion acutirostre,unclear toxicity ??? unclear dangerousness,Length: up to 31.0 cm
Wolf Snake,Lycophidion albomaculatum,unclear toxicity ??? unclear dangerousness,Length: up to 65.0 cm
Cape Wolf Snake,Lycophidion capense,non-venomous ---,Length: up to 70.0 cm
Flat Snouted Wolf Snake,Lycophidion depressirostre,unclear toxicity ??? unclear dangerousness,Length: up to 49.2 cm
Hellmich's Wolf Snake,Lycophidion hellmichi,unclear toxicity ??? unclear dangerousness,Length: up to 47.0 cm
Leach's Wolf Snake,Lycophidion irroratum,unclear toxicity ??? unclear dangerousness,Length: up to 49.0 cm
Flat Wolf Snake,Lycophidion laterale,unclear toxicity ??? unclear dangerousness,Length: up to 50.0 cm
Speckled Wolf Snake,Lycophidion meleagre,unclear toxicity ??? unclear dangerousness,Length: up to 44.0 cm
Cape Wolf Snake,Lycophidion multimaculatum,unclear toxicity ??? unclear dangerousness,Length: up to 40.0 cm
Namibian Wolf Snake,Lycophidion namibianum,unclear toxicity ??? unclear dangerousness,Length: up to 59.0 cm
Dwarf Wolf Snake,Lycophidion nanum,unclear toxicity ??? unclear dangerousness,Length: up to 27.0 cm
